Day fraction since midnight on 	pH probe (pH)
0.61185635	6.36997509
0.611867901	6.369079113
0.611879475	6.366102219
0.611891068	6.379989624
0.611902642	6.364100933
0.611914212	6.368817329
0.611925789	6.351452351
0.611937348	6.361296177
0.611948935	6.341718197
0.611960513	6.354674816
0.611972066	6.331346989
0.611983644	6.342278004
0.611995247	6.329467297
0.61200679	6.34314394
0.612018388	6.329201698
0.612029949	6.350303173
0.612041529	6.338826656
0.612053105	6.357431412
0.612064673	6.344657421
0.612076233	6.349574089
0.612087813	6.330388546
0.612099409	6.313283444
0.612110976	6.309352398
0.612122541	6.326284885
0.612134116	6.332712174
0.612145688	6.335186005
0.612157261	6.339081287
0.612168846	6.337948799
0.612180403	6.336607456
0.612192002	6.308294773
0.612203568	6.304383278
0.612215138	6.293859482
0.612226708	6.296784401
0.612238304	6.28676033
0.612249865	6.291062832
0.612261436	6.283778667
0.612273011	6.299888134
0.612284591	6.285951614
0.612296173	6.303296566
0.612307747	6.295741081
0.612319304	6.312563896
0.612330906	6.297712803
0.612342461	6.314437866
0.612354036	6.293768406
0.61236561	6.311292648
0.612377174	6.278469086
0.612388735	6.285395622
0.612400309	6.27218771
0.612411901	6.301540375
0.612423487	6.282427788
0.612435047	6.285692692
0.612446619	6.244943142
0.612458194	6.27746582
0.61246977	6.27444315
0.612481339	6.265818119
0.612492932	6.270303726
0.612504493	6.272614956
0.612516078	6.268203259
0.612527627	6.265191555
0.612539211	6.26260519
0.61255078	6.263500691
0.612562377	6.257470131
0.612573941	6.252404213
0.612585516	6.245170593
0.612597087	6.228203297
0.612608653	6.231061459
0.612620238	6.219255447
0.612631822	6.23489666
0.612643392	6.229001522
0.612654938	6.24008131
0.612666526	6.224225998
0.612678113	6.234790802
0.61268968	6.218518734
0.612701258	6.233444691
0.612712812	6.202772617
0.612724404	6.210196495
0.612735968	6.191597939
0.612747564	6.21117878
0.612759104	6.194764137
0.612770682	6.218976975
0.612782281	6.203302383
0.612793844	6.214740276
0.612805417	6.188206673
0.612816978	6.207219601
0.612828574	6.198654175
0.612840157	6.209209442
0.612851708	6.173595429
0.612863304	6.176762104
0.612874865	6.171110153
0.612886443	6.17902422
0.612898006	6.178910732
0.612909592	6.157797813
0.612921145	6.161658287
0.612932728	6.16808939
0.612944293	6.182808876
0.612955892	6.182435036
0.612967438	6.168251038
0.612979057	6.161160946
0.612990616	6.170143604
0.613002165	6.165865898
0.613013746	6.167261601
0.61302532	6.150539398
0.61303691	6.167969227
0.613048471	6.160769463
0.613060042	6.169569969
0.613071622	6.149536133
0.613083189	6.166964531
0.613094765	6.144435883
0.613106346	6.140174866
0.61311792	6.131817341
0.613129498	6.146154404
0.61314105	6.129998207
0.613152647	6.143555164
0.613164213	6.119015217
0.613175792	6.140973091
0.613187366	6.114788532
0.613198934	6.134804726
0.613210495	6.108834744
0.613222085	6.114191055
0.613233656	6.0938797
0.613245237	6.112328529
0.613256815	6.110402107
0.613268368	6.108046055
0.613279957	6.094180584
0.613291532	6.088091373
0.613303118	6.082528591
0.613314679	6.085734367
0.613326254	6.09047842
0.61333782	6.082104683
0.613349408	6.090615273
0.613360971	6.083539009
0.613372557	6.086884975
0.613384126	6.076169968
0.613395703	6.086270809
0.613407254	6.073606491
0.61341883	6.092240334
0.613430435	6.082231998
0.613442012	6.084424973
0.613453552	6.071296215
0.613465156	6.082892418
0.613476712	6.06323576
0.613488289	6.064708233
0.613499867	6.042303085
0.613511433	6.053001881
0.613523026	6.045900345
0.613534587	6.067527294
0.61354615	6.048381805
0.613557732	6.057505608
0.613569329	6.037009239
0.6135809	6.058393478
0.613592448	6.029222965
0.613604028	6.041304112
0.613615601	6.033451557
0.613627189	6.052292347
0.613638771	6.029144764
0.613650329	6.035293102
0.613661908	6.031744003
0.613673482	6.035758972
0.613685054	6.020809174
0.613696615	6.018974304
0.613708202	6.012714863
0.613719754	6.0008955
0.613731353	5.999786377
0.613742938	5.991243839
0.613754501	5.991478443
0.613766078	5.97671175
0.61377764	5.983480454
0.613789238	5.986608505
0.613800814	5.996757507
0.613812393	5.986192226
0.613823944	6.005153179
0.613835508	5.989686012
0.613847089	5.98507452
0.613858655	5.962678433
0.61387024	5.979083538
0.613881832	5.961378574
0.613893406	5.969336033
0.613904973	5.959089279
0.613916555	5.980220318
0.613928134	5.963924408
0.613939692	5.983562946
0.613951261	5.963541508
0.613962846	5.954865456
0.613974429	5.926792622
0.613985997	5.957885742
0.613997579	5.943818092
0.614009143	5.953517437
0.614020713	5.934599876
0.614032299	5.942989826
0.61404386	5.943049908
0.614055455	5.951635361
0.614067016	5.9520607
0.614078591	5.959984303
0.614090167	5.948219776
0.614101734	5.941224575
0.614113302	5.943738461
0.614124873	5.933495522
0.614136445	5.935477734
0.614148038	5.928425312
0.6141596	5.931854725
0.614171178	5.921423912
0.614182742	5.917000771
0.614194318	5.909071446
0.614205895	5.918548107
0.614217479	5.900806904
0.614229039	5.911961556
0.614240632	5.90237093
0.614252207	5.906604767
0.614263764	5.893372536
0.614275365	5.909494877
0.614286931	5.898135662
0.614298488	5.907677651
0.61431007	5.891493797
0.614321658	5.901959896
0.614333228	5.870668888
0.614344827	5.880583286
0.614356384	5.861865997
0.614367956	5.876246929
0.614379518	5.853554726
0.614391104	5.880482674
0.614402682	5.874705792
0.614414229	5.879281998
0.614425826	5.852128029
0.614437396	5.856294632
0.614448985	5.850748539
0.614460549	5.852921963
0.614472135	5.85498333
0.614483705	5.854678631
0.614495261	5.845286369
0.614506847	5.833493233
0.614518417	5.840469837
0.614529975	5.834438801
0.614541568	5.827676296
0.614553141	5.810316086
0.614564699	5.814840317
0.614576273	5.799369335
0.614587851	5.810990334
0.614599437	5.796377659
0.614611014	5.804676056
0.614622598	5.782383442
0.61463417	5.792284489
0.614645745	5.773946762
0.614657332	5.789070129
0.614668868	5.774959564
0.614680456	5.792615414
0.614692039	5.767054558
0.614703608	5.778056622
0.614715178	5.765448093
0.614726752	5.774324417
0.614738324	5.758174419
0.614749894	5.776208878
0.614761476	5.767941475
0.61477305	5.776559353
0.614784653	5.745771885
0.614796204	5.767344952
0.614807771	5.737852573
0.614819357	5.738831043
0.61483093	5.71432066
0.614842485	5.726809502
0.614854089	5.74002552
0.614865657	5.73789072
0.614877222	5.726350784
0.614888796	5.724753857
0.614900373	5.712544918
0.614911957	5.697115421
0.614923515	5.711213589
0.614935087	5.715991974
0.614946673	5.715754509
0.61495824	5.707744122
0.614969824	5.722561359
0.614981409	5.705954552
0.614992973	5.704811573
0.615004553	5.697384358
